,soc_bid_1,soc_bid_2,soc_bid_3,soc_bid_4,soc_bid_5
222,62.536713,61.25234,59.84472,60.680176,59.01179
223,62.567207,61.2985,59.888466,60.655964,58.821022
224,62.715534,61.37315,59.879158,60.508095,58.482903
225,62.83306,61.45625,59.919884,60.451775,58.299248
226,63.076576,61.606133,59.952507,60.330544,57.991077
227,63.18282,61.67211,59.96459,60.221283,57.72926
228,63.27062,61.71694,59.946938,60.09246,57.47705
229,63.478302,61.93302,60.155792,60.227924,57.53715
230,63.62948,62.094524,60.312366,60.297844,57.512867
231,63.41687,61.911247,60.15278,60.096474,57.286854
232,63.615715,62.06542,60.231617,60.046867,57.10668
233,63.353325,61.823772,60.009125,59.79502,56.841576
234,63.384655,61.840595,59.984173,59.674995,56.642864
235,63.443275,61.93999,60.114147,59.81432,56.82179
236,63.24821,61.79017,59.999744,59.708485,56.76103
237,63.034325,61.60966,59.834583,59.532246,56.61666
238,62.87269,61.486603,59.72942,59.423473,56.556435
239,62.541943,61.16565,59.406902,59.094086,56.26167
240,62.156727,60.800194,59.06327,58.76655,56.01665
241,61.90497,60.604927,58.88862,58.633953,56.01534
242,61.516624,60.27553,58.59968,58.397156,55.906647
243,61.406197,60.20279,58.561382,58.36906,55.97182
244,61.448284,60.227257,58.58496,58.35808,56.0001
245,61.314323,60.07853,58.440315,58.18023,55.86836
246,61.151142,59.88844,58.20216,57.907726,55.657276
247,60.847313,59.650322,57.966522,57.7148,55.59547
248,60.811188,59.670746,57.989246,57.75529,55.739826
249,60.802235,59.75722,58.101265,57.922935,56.046547
250,60.51952,59.61553,58.00289,57.922127,56.241383
251,60.211506,59.366882,57.781727,57.74395,56.211437
252,59.98588,59.22158,57.69394,57.728615,56.36915
253,60.119152,59.43457,57.950478,58.030224,56.808105
254,60.395924,59.81291,58.38804,58.52722,57.470478
255,60.469078,59.973763,58.59684,58.816906,57.962402
256,60.530926,60.108074,58.761425,59.05077,58.384228
257,61.407288,61.067345,59.732033,60.07316,59.583344
258,62.100403,61.80248,60.47271,60.895042,60.585968
259,61.946716,61.625927,60.27907,60.742332,60.53031
260,62.43576,62.11936,60.766743,61.233826,61.036114
261,62.868603,62.55912,61.20694,61.675713,61.487923
262,63.614788,63.29876,61.921253,62.371227,62.160805
263,59.93163,59.70045,58.497803,59.093792,59.169018
264,57.247566,57.04661,55.935596,56.57569,56.765747
265,55.85907,55.661293,54.581078,55.21769,55.429005
266,55.134815,54.92743,53.846027,54.456757,54.653717
267,54.603527,54.385445,53.299355,53.88095,54.05467
268,54.36978,54.149406,53.06429,53.636597,53.80379
269,54.220146,53.992615,52.899372,53.467113,53.63575
270,54.10797,53.875965,52.778084,53.341846,53.510193
271,54.19115,53.950665,52.841896,53.387627,53.532562
272,54.30473,54.056885,52.93808,53.46869,53.593056
273,54.399475,54.143913,53.013836,53.535297,53.648643
274,54.6107,54.35511,53.221428,53.748566,53.8651
275,54.62029,54.359642,53.217663,53.74864,53.873817
276,54.859966,54.599205,53.453175,53.989723,54.11728
277,54.84016,54.580086,53.434998,53.97347,54.103943
278,54.98275,54.719677,53.567955,54.108746,54.24101
279,54.937428,54.669373,53.51056,54.052612,54.19101
280,55.00451,54.731773,53.566803,54.098167,54.222015
281,55.321404,55.04948,53.882263,54.410408,54.52115
282,55.506317,55.23332,54.06201,54.5913,54.69982
283,55.582436,55.310577,54.13977,54.670666,54.77897
284,55.69035,55.41563,54.240307,54.764046,54.86087
285,55.841774,55.560326,54.373028,54.89683,54.994263
286,56.09779,55.81256,54.61678,55.13814,55.22799
287,56.115704,55.821503,54.613525,55.125572,55.206856
