,interval_start_local,interval_end_local,net_load,renewables,renewables_to_load_ratio,primary_power_source,load.load,load_forecast.publish_time_local,load_forecast.load_forecast,fuel_mix.solar,fuel_mix.wind,fuel_mix.geothermal,fuel_mix.biomass,fuel_mix.biogas,fuel_mix.small_hydro,fuel_mix.coal,fuel_mix.nuclear,fuel_mix.natural_gas,fuel_mix.large_hydro,fuel_mix.batteries,fuel_mix.imports,fuel_mix.other,storage.supply,storage.stand_alone_batteries,storage.hybrid_batteries,battery_discharge_to_load_ratio,battery_charge_to_load_ratio
74,2021-12-31 06:10:00-08:00,2021-12-31 06:15:00-08:00,18402,6748,0.3050219228856846,imports,22123,2021-12-30 09:10:00-08:00,22834.22,-44,3765,881,286,207,203,18,2267,6513,1450,-72,8238,0,,,,-0.003254531483071916,0.0032439738679882857
75,2021-12-31 06:15:00-08:00,2021-12-31 06:20:00-08:00,18543,6765,0.3042090116017627,imports,22238,2021-12-30 09:10:00-08:00,22953.04,-44,3739,884,286,207,202,19,2269,6645,1491,-35,8219,0,,,,-0.00157388254339419,0.0015714093296816773
76,2021-12-31 06:20:00-08:00,2021-12-31 06:25:00-08:00,18587,6784,0.30446099991024145,imports,22282,2021-12-30 09:10:00-08:00,23071.86,-44,3739,884,287,207,202,20,2268,6718,1509,-81,8219,0,,,,-0.003635221254824522,0.003622054286097572
77,2021-12-31 06:25:00-08:00,2021-12-31 06:30:00-08:00,18610,6831,0.30573333930089963,imports,22343,2021-12-30 09:10:00-08:00,23190.68,-44,3777,884,287,207,201,19,2268,6790,1519,7,8081,0,,,,0.0003132972295573558,-0.0003133954154727794
78,2021-12-31 06:30:00-08:00,2021-12-31 06:35:00-08:00,18639,6864,0.3061961903912209,imports,22417,2021-12-30 09:10:00-08:00,23309.5,-44,3822,884,287,207,201,19,2268,6733,1507,24,8112,0,,,,0.0010706160503189544,-0.0010717634975215468
79,2021-12-31 06:35:00-08:00,2021-12-31 06:40:00-08:00,18715,6858,0.3045022644525353,imports,22522,2021-12-30 09:10:00-08:00,23370.583333333332,-44,3851,885,286,207,202,19,2268,6745,1471,38,8179,0,,,,0.0016872391439481395,-0.0016900907311866217
80,2021-12-31 06:40:00-08:00,2021-12-31 06:45:00-08:00,18748,6920,0.3064251870876323,imports,22583,2021-12-30 09:10:00-08:00,23431.666666666668,-44,3879,885,287,207,201,18,2268,6812,1505,81,8109,0,,,,0.003586768808395696,-0.0035996800284419164
81,2021-12-31 06:45:00-08:00,2021-12-31 06:50:00-08:00,18796,6897,0.30506900212314225,imports,22608,2021-12-30 09:10:00-08:00,23492.75,-44,3856,884,286,206,201,19,2268,6799,1508,79,8100,0,,,,0.003494338287331918,-0.003506591504283368
82,2021-12-31 06:50:00-08:00,2021-12-31 06:55:00-08:00,18835,6889,0.30468819106590006,imports,22610,2021-12-30 09:10:00-08:00,23553.833333333332,-37,3812,884,289,207,201,19,2268,6745,1533,75,8125,0,,,,0.0033171163202122956,-0.0033281562014643887
83,2021-12-31 06:55:00-08:00,2021-12-31 07:00:00-08:00,18936,6815,0.30101590106007065,imports,22640,2021-12-30 09:10:00-08:00,23614.916666666668,-23,3727,884,287,207,201,18,2267,6712,1532,86,8196,0,,,,0.0037985865724381625,-0.0038130708521769974
84,2021-12-31 07:00:00-08:00,2021-12-31 07:05:00-08:00,19065,6758,0.2981295217928357,imports,22668,2021-12-30 09:10:00-08:00,23676.0,-1,3604,884,288,206,201,19,2269,6851,1576,134,8161,0,,,,0.005911416975472031,-0.005946569628117512
85,2021-12-31 07:05:00-08:00,2021-12-31 07:10:00-08:00,19261,6867,0.3012502741829349,imports,22795,2021-12-30 09:10:00-08:00,23737.083333333332,27,3507,883,287,207,199,20,2269,6927,1757,207,8018,0,,,,0.00908093880236894,-0.00916415795997875
86,2021-12-31 07:10:00-08:00,2021-12-31 07:15:00-08:00,19404,6945,0.3036463798530955,imports,22872,2021-12-30 09:10:00-08:00,23798.166666666668,64,3404,883,287,206,198,20,2268,6763,1903,228,8049,0,,,,0.009968520461699895,-0.010068892421833599
87,2021-12-31 07:15:00-08:00,2021-12-31 07:20:00-08:00,19457,6971,0.3040917815389984,imports,22924,2021-12-30 09:10:00-08:00,23859.25,113,3354,885,287,206,199,20,2268,6733,1927,280,7980,0,,,,0.012214273250741581,-0.012365306482953541
88,2021-12-31 07:20:00-08:00,2021-12-31 07:25:00-08:00,19454,7001,0.3048153953326367,imports,22968,2021-12-30 09:10:00-08:00,23920.333333333332,209,3305,884,288,206,199,20,2268,6757,1910,277,7920,0,,,,0.012060257749912923,-0.012207483143096382
